[316.292603,156.153122]
[-1.000000,-1.000000]
[265.355957,257.543610]
[295.922699,288.779572]
[-1.000000,-1.000000]
[159.474625,16.760237]
[-1.000000,-1.000000]
[386.920593,440.938446]
[349.578613,365.312958]
[436.933929,355.093231]
[308.746582,317.025238]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[359.888062,370.526642]
[-1.000000,-1.000000]
[152.973984,360.900848]
[438.410156,132.867966]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[298.892822,312.616577]
[-1.000000,-1.000000]
[286.818573,290.701111]
[340.153290,133.002197]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[316.223602,166.928787]
[-1.000000,-1.000000]
[442.423889,389.424316]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[339.262848,220.304855]
[334.151459,171.511230]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[297.412689,311.608459]
[493.161407,186.411575]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[608.595459,302.954681]
[398.244110,218.906265]
[442.425507,389.419250]
[-1.000000,-1.000000]
[121.063408,428.102692]
[-1.000000,-1.000000]
[463.098724,254.855408]
[-1.000000,-1.000000]
[352.743835,416.842621]
[-1.000000,-1.000000]
[340.145874,228.177460]
[-1.000000,-1.000000]
[356.982910,397.161072]
[395.559937,400.537720]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[439.732117,237.306747]
[-1.000000,-1.000000]
[411.786774,205.491516]
[376.970703,194.020554]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[355.279480,256.121521]
[349.702972,282.987091]
[-1.000000,-1.000000]
[453.284698,237.220291]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[391.567139,420.215271]
[479.523224,53.369972]
[-1.000000,-1.000000]
[410.060944,371.397247]
[306.341492,22.126892]
[510.862518,287.814758]
[398.243164,218.871338]
[320.262268,34.743256]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[390.438843,135.735260]
[397.955719,291.564453]
[-1.000000,-1.000000]
[473.372498,209.917465]
[411.800110,355.548065]
[442.425964,389.419342]
[451.276794,359.443207]
[393.673920,305.896088]
[330.885162,196.900330]
[362.255615,277.684906]
[429.211639,141.912903]
[453.736633,343.457550]
[402.548615,406.485443]
[436.175140,264.847107]
[457.344543,264.146851]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[319.504395,280.912201]
[-1.000000,-1.000000]
[339.185608,149.399139]
[-1.000000,-1.000000]
[173.984085,352.099060]
[535.132446,271.780731]
[-1.000000,-1.000000]
[439.733978,237.308929]
[-1.000000,-1.000000]
[334.151459,171.507889]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[480.357269,351.645355]
[-1.000000,-1.000000]
[274.736664,264.989746]
[330.674561,288.529358]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[166.108185,367.021820]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[428.272675,197.734131]
[-1.000000,-1.000000]
[279.514923,285.793427]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[392.861481,120.368538]
[411.603729,309.149567]
[392.912659,288.298004]
[404.082733,291.990814]
[-1.000000,-1.000000]
[482.134186,175.328537]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[413.525818,191.347824]
[436.914337,355.128998]
[-1.000000,-1.000000]
[357.615875,178.464722]
[389.178192,117.815102]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[387.363403,147.991562]
[401.587067,173.387299]
[-1.000000,-1.000000]
[462.600128,286.933777]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[244.815079,345.962677]
[-1.000000,-1.000000]
[332.339691,37.074799]
[-1.000000,-1.000000]
[315.071594,171.728500]
[376.444214,184.720642]
[347.984039,204.261520]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[429.687653,289.668488]
[-1.000000,-1.000000]
[316.460754,306.828491]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[401.689331,403.089661]
[350.503937,210.355774]
[143.148209,349.382996]
[-1.000000,-1.000000]
[417.752197,277.033630]
[375.122894,444.511353]
[379.857056,407.302917]
[458.474152,214.176254]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[398.244751,218.864975]
[-1.000000,-1.000000]
[387.230835,266.752075]
[479.532684,53.376675]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
